"Session","Date","Treatment","Protocol","Stage","DayNumber","Trial","ID","Latency","Reason","Scoring","Force"
104,"2024-04-02 16:10:00","CCD","AMN","POST",21,"C","DW 239",1.8,"Detection","Auto",41.26
105,"2024-04-02 16:10:00","CCD","AMN","POST",21,"C","DW 239",3,"Detection","Auto",45
106,"2024-04-02 16:10:00","CCD","AMN","POST",21,"C","DW 239",0,"Detection","Auto",0
107,"2024-04-02 16:10:00","CCD","AMN","POST",21,"C","DW 239",1.3,"Detection","Auto",28.54
108,"2024-04-02 16:10:00","CCD","AMN","POST",21,"C","DW 239",1.3,"Detection","Auto",30.03
109,"2024-04-02 16:11:00","CCD","AMN","POST",21,"C","DW 239",2.6,"Detection","Auto",45
110,"2024-04-05 15:34:00","CCD","AMN","PRE",0,"C","DW 241",7,"Cutoff","Auto",45
111,"2024-04-05 15:35:00","CCD","AMN","PRE",0,"C","DW 241",6.6,"Detection","Auto",45
112,"2024-04-05 15:35:00","CCD","AMN","PRE",0,"C","DW 241",2.1,"Detection","Auto",45
113,"2024-04-05 15:36:00","CCD","AMN","PRE",0,"C","DW 241",2.4,"Detection","Auto",45
114,"2024-04-05 15:37:00","CCD","AMN","PRE",0,"C","DW 241",4.6,"Detection","Auto",45
115,"2024-04-05 15:39:00","CCD","AMN","PRE",0,"I","DW 241",3.6,"Detection","Auto",45
116,"2024-04-05 15:40:00","CCD","AMN","PRE",0,"I","DW 241",1.6,"Detection","Auto",36.77
117,"2024-04-05 15:40:00","CCD","AMN","PRE",0,"I","DW 241",5.5,"Detection","Auto",45
118,"2024-04-05 15:41:00","CCD","AMN","PRE",0,"C","DW 241",1.9,"Detection","Auto",42.01
119,"2024-04-05 15:41:00","CCD","AMN","PRE",0,"C","DW 241",0.9,"Detection","Auto",21.05
120,"2024-04-05 15:43:00","CCD","AMN","PRE",0,"I","DW 241",1.8,"Detection","Auto",42.01
121,"2024-04-05 15:43:00","CCD","AMN","PRE",0,"I","DW 241",1.5,"Detection","Auto",33.78
122,"2024-04-05 15:44:00","CCD","AMN","PRE",0,"I","DW 241",1.3,"Detection","Auto",30.78
123,"2024-04-05 15:45:00","CCD","AMN","PRE",0,"I","DW 241",7,"Cutoff","Auto",45
124,"2024-04-05 15:45:00","CCD","AMN","PRE",0,"I","DW 241",7,"Cutoff","Auto",45
125,"2024-04-05 15:47:00","CCD","AMN","PRE",0,"I","DW 241",1.9,"Detection","Auto",42.01
126,"2024-04-05 19:07:00","CCD","AMN","POST",24,"I","DW 239",0.3,"Detection","Auto",8.33
127,"2024-04-05 19:07:00","CCD","AMN","POST",24,"I","DW 239",0.5,"Detection","Auto",12.07
128,"2024-04-05 19:07:00","CCD","AMN","POST",24,"I","DW 239",0.3,"Detection","Auto",8.33
129,"2024-04-05 19:08:00","CCD","AMN","POST",24,"I","DW 239",0.3,"Detection","Auto",6.84
130,"2024-04-05 19:08:00","CCD","AMN","POST",24,"I","DW 239",0.3,"Detection","Auto",7.58
131,"2024-04-05 19:09:00","CCD","AMN","POST",24,"C","DW 239",2.3,"Detection","Auto",45
132,"2024-04-05 19:09:00","CCD","AMN","POST",24,"C","DW 239",2.1,"Detection","Auto",45
133,"2024-04-05 19:09:00","CCD","AMN","POST",24,"C","DW 239",3.2,"Detection","Auto",45
134,"2024-04-05 19:09:00","CCD","AMN","POST",24,"C","DW 239",2.1,"Detection","Auto",45
135,"2024-04-05 19:20:00","CCD","AMN","POST",7,"C","DW 240",5,"Detection","Auto",45
136,"2024-04-05 19:20:00","CCD","AMN","POST",7,"C","DW 240",1.4,"Detection","Auto",31.53
137,"2024-04-05 19:21:00","CCD","AMN","POST",7,"C","DW 240",0.4,"Detection","Auto",10.58
138,"2024-04-05 19:21:00","CCD","AMN","POST",7,"C","DW 240",2.1,"Detection","Auto",45
139,"2024-04-05 19:22:00","CCD","AMN","POST",7,"C","DW 240",2.3,"Detection","Auto",45
140,"2024-04-05 19:22:00","CCD","AMN","POST",7,"C","DW 240",2.1,"Detection","Auto",45
141,"2024-04-05 19:22:00","CCD","AMN","POST",7,"C","DW 240",1.3,"Detection","Auto",30.03
142,"2024-04-05 19:23:00","CCD","AMN","POST",7,"I","DW 240",1.7,"Detection","Auto",37.52
143,"2024-04-05 19:23:00","CCD","AMN","POST",7,"I","DW 240",1,"Detection","Auto",24.05
144,"2024-04-05 19:23:00","CCD","AMN","POST",7,"I","DW 240",1.1,"Detection","Auto",25.54
145,"2024-04-05 19:23:00","CCD","AMN","POST",7,"I","DW 240",0.5,"Detection","Auto",12.82
146,"2024-04-05 19:23:00","CCD","AMN","POST",7,"I","DW 240",0.8,"Detection","Auto",18.81
147,"2024-04-05 19:24:00","CCD","AMN","POST",7,"I","DW 240",0.6,"Detection","Auto",13.57
148,"2024-04-05 19:24:00","CCD","AMN","POST",7,"I","DW 240",0.5,"Detection","Auto",13.57
149,"2024-04-05 19:24:00","CCD","AMN","POST",7,"I","DW 240",1.2,"Detection","Auto",26.29
150,"2024-04-05 19:25:00","CCD","AMN","POST",7,"I","DW 240",0.8,"Detection","Auto",18.81
151,"2024-04-05 19:26:00","CCD","AMN","POST",7,"C","DW 240",3,"Detection","Auto",45
152,"2024-04-05 19:26:00","CCD","AMN","POST",7,"C","DW 240",1.3,"Detection","Auto",30.78
153,"2024-04-08 17:49:00","CCD","AMN","POST",3,"C","DW 241",7,"Cutoff","Auto",45
154,"2024-04-08 17:49:00","CCD","AMN","POST",3,"C","DW 241",4.2,"Detection","Auto",45
155,"2024-04-08 17:49:00","CCD","AMN","POST",3,"C","DW 241",7,"Cutoff","Auto",45
156,"2024-04-08 17:49:00","CCD","AMN","POST",3,"C","DW 241",0.9,"Detection","Auto",21.8
157,"2024-04-08 17:49:00","CCD","AMN","POST",3,"C","DW 241",5.1,"Detection","Auto",45
158,"2024-04-08 17:50:00","CCD","AMN","POST",3,"C","DW 241",0.6,"Detection","Auto",14.32
