Session;Date;Treatment;Protocol;Stage;Trial;ID;Latency;Reason;Mode;Scoring;Force;TargetForce;RampDuration;CutoffTime;LegacyMode;TouchPause;TouchForce;TimeThreshold
3204;07/03/2025 13:55:16;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3205;07/03/2025 13:55:21;CCD;AMN;POST;TEST;DW369;2.4;Detection;Ramp;Auto;23.85;60.00;6;5;OFF;1.2;0.3;0.0
3206;07/03/2025 13:56:15;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.00;60.00;6;5;OFF;1.2;0.3;0.0
3207;07/03/2025 13:56:19;CCD;AMN;POST;TEST;DW369;0.5;Detection;Ramp;Auto;5.61;60.00;6;5;OFF;1.2;0.3;0.0
3208;07/03/2025 13:56:29;CCD;AMN;POST;TEST;DW369;3.2;Detection;Ramp;Auto;32.47;60.00;6;5;OFF;1.2;0.3;0.0
3209;07/03/2025 13:57:45;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3210;07/03/2025 13:57:48;CCD;AMN;POST;TEST;DW369;0.2;Detection;Ramp;Auto;2.62;60.00;6;5;OFF;1.2;0.3;0.0
3211;07/03/2025 13:58:26;CCD;AMN;POST;TEST;DW369;3.2;Detection;Ramp;Auto;33.13;60.00;6;5;OFF;1.2;0.3;0.0
3212;07/03/2025 13:58:46;CCD;AMN;POST;TEST;DW369;1.5;Detection;Ramp;Auto;15.23;60.00;6;5;OFF;1.2;0.3;0.0
3213;07/03/2025 13:59:33;CCD;AMN;POST;TEST;DW369;1.7;Detection;Ramp;Auto;17.22;60.00;6;5;OFF;1.2;0.3;0.0
3214;07/03/2025 14:00:07;CCD;AMN;POST;TEST;DW369;2.9;Detection;Ramp;Auto;29.16;60.00;6;5;OFF;1.2;0.3;0.0
3215;07/03/2025 14:00:46;CCD;AMN;POST;TEST;DW369;2.8;Detection;Ramp;Auto;27.83;60.00;6;5;OFF;1.2;0.3;0.0
3216;07/03/2025 14:01:46;CCD;AMN;POST;TEST;DW369;1.4;Detection;Ramp;Auto;14.23;60.00;6;5;OFF;1.2;0.3;0.0
3217;07/03/2025 14:02:02;CCD;AMN;POST;TEST;DW369;0.0;Detection;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3218;07/03/2025 14:02:36;CCD;AMN;POST;TEST;DW369;0.2;Manual Stop;Ramp;Auto;2.29;60.00;6;5;OFF;1.2;0.3;0.0
3219;07/03/2025 14:02:41;CCD;AMN;POST;TEST;DW369;2.5;Detection;Ramp;Auto;25.84;60.00;6;5;OFF;1.2;0.3;0.0
3220;07/03/2025 14:03:22;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.63;60.00;6;5;OFF;1.2;0.3;0.0
3221;07/03/2025 14:03:25;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3222;07/03/2025 14:03:31;CCD;AMN;POST;TEST;DW369;0.3;Manual Stop;Ramp;Auto;2.62;60.00;6;5;OFF;1.2;0.3;0.0
3223;07/03/2025 14:03:33;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3224;07/03/2025 14:03:36;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3225;07/03/2025 14:03:41;CCD;AMN;POST;TEST;DW369;2.4;Detection;Ramp;Auto;25.17;60.00;6;5;OFF;1.2;0.3;0.0
3226;07/03/2025 14:04:08;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3227;07/03/2025 14:04:11;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3228;07/03/2025 14:04:14;CCD;AMN;POST;TEST;DW369;0.5;Detection;Ramp;Auto;6.27;60.00;6;5;OFF;1.2;0.3;0.0
3229;07/03/2025 14:04:20;CCD;AMN;POST;TEST;DW369;2.6;Detection;Ramp;Auto;26.50;60.00;6;5;OFF;1.2;0.3;0.0
3230;07/03/2025 14:04:53;CCD;AMN;POST;TEST;DW369;1.6;Detection;Ramp;Auto;16.55;60.00;6;5;OFF;1.2;0.3;0.0
3231;07/03/2025 14:04:56;CCD;AMN;POST;TEST;DW369;0.1;Detection;Ramp;Auto;1.63;60.00;6;5;OFF;1.2;0.3;0.0
3232;07/03/2025 14:05:06;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.63;60.00;6;5;OFF;1.2;0.3;0.0
