Session,Date,Treatment,Protocol,Stage,dayspost,Trial,ID,Latency,Reason,Mode,Scoring,Force,TargetForce,RampDuration,CutoffTime,LegacyMode,TouchPause,TouchForce,TimeThreshold
87,2024-04-02 16:03:00,CCD,AMN,POST,4,C,DW 240,1.5,Detection,Ramp,Auto,34.52,45,2,5,OFF,1.2,0.1,0
88,2024-04-02 16:03:00,CCD,AMN,POST,4,C,DW 240,0.9,Detection,Ramp,Auto,20.31,45,2,5,OFF,1.2,0.1,0
89,2024-04-02 16:03:00,CCD,AMN,POST,4,C,DW 240,1.0,Detection,Ramp,Auto,24.05,45,2,5,OFF,1.2,0.1,0
90,2024-04-02 16:05:00,CCD,AMN,POST,4,I,DW 240,7.0,Cutoff,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
91,2024-04-02 16:05:00,CCD,AMN,POST,4,I,DW 240,4.7,Manual Stop,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
92,2024-04-02 16:05:00,CCD,AMN,POST,4,I,DW 240,1.5,Detection,Ramp,Auto,34.52,45,2,5,OFF,1.2,0.1,0
93,2024-04-02 16:05:00,CCD,AMN,POST,4,I,DW 240,0.4,Detection,Ramp,Auto,10.58,45,2,5,OFF,1.2,0.1,0
94,2024-04-02 16:05:00,CCD,AMN,POST,4,I,DW 240,1.3,Detection,Ramp,Auto,29.28,45,2,5,OFF,1.2,0.1,0
95,2024-04-02 16:05:00,CCD,AMN,POST,4,I,DW 240,0.8,Detection,Ramp,Auto,18.81,45,2,5,OFF,1.2,0.1,0
96,2024-04-02 16:08:00,CCD,AMN,POST,21,I,DW 239,0.3,Detection,Ramp,Auto,9.08,45,2,5,OFF,1.2,0.1,0
97,2024-04-02 16:08:00,CCD,AMN,POST,21,I,DW 239,0.7,Detection,Ramp,Auto,18.06,45,2,5,OFF,1.2,0.1,0
98,2024-04-02 16:08:00,CCD,AMN,POST,21,I,DW 239,2.9,Manual Stop,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
99,2024-04-02 16:08:00,CCD,AMN,POST,21,I,DW 239,0.3,Detection,Ramp,Auto,8.33,45,2,5,OFF,1.2,0.1,0
100,2024-04-02 16:09:00,CCD,AMN,POST,21,I,DW 239,0.2,Detection,Ramp,Auto,6.09,45,2,5,OFF,1.2,0.1,0
101,2024-04-02 16:09:00,CCD,AMN,POST,21,I,DW 239,0.4,Detection,Ramp,Auto,10.58,45,2,5,OFF,1.2,0.1,0
102,2024-04-02 16:09:00,CCD,AMN,POST,21,C,DW 239,1.6,Detection,Ramp,Auto,36.77,45,2,5,OFF,1.2,0.1,0
103,2024-04-02 16:09:00,CCD,AMN,POST,21,C,DW 239,0.8,Detection,Ramp,Auto,18.06,45,2,5,OFF,1.2,0.1,0
104,2024-04-02 16:10:00,CCD,AMN,POST,21,C,DW 239,1.8,Detection,Ramp,Auto,41.26,45,2,5,OFF,1.2,0.1,0
105,2024-04-02 16:10:00,CCD,AMN,POST,21,C,DW 239,3.0,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
106,2024-04-02 16:10:00,CCD,AMN,POST,21,C,DW 239,0.0,Detection,Ramp,Auto,0.0,45,2,5,OFF,1.2,0.1,0
107,2024-04-02 16:10:00,CCD,AMN,POST,21,C,DW 239,1.3,Detection,Ramp,Auto,28.54,45,2,5,OFF,1.2,0.1,0
108,2024-04-02 16:10:00,CCD,AMN,POST,21,C,DW 239,1.3,Detection,Ramp,Auto,30.03,45,2,5,OFF,1.2,0.1,0
109,2024-04-02 16:11:00,CCD,AMN,POST,21,C,DW 239,2.6,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
110,2024-04-05 15:34:00,CCD,AMN,PRE,0,C,DW 241,7.0,Cutoff,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
111,2024-04-05 15:35:00,CCD,AMN,PRE,0,C,DW 241,6.6,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
112,2024-04-05 15:35:00,CCD,AMN,PRE,0,C,DW 241,2.1,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
113,2024-04-05 15:36:00,CCD,AMN,PRE,0,C,DW 241,2.4,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
114,2024-04-05 15:37:00,CCD,AMN,PRE,0,C,DW 241,4.6,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
115,2024-04-05 15:39:00,CCD,AMN,PRE,0,I,DW 241,3.6,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
116,2024-04-05 15:40:00,CCD,AMN,PRE,0,I,DW 241,1.6,Detection,Ramp,Auto,36.77,45,2,5,OFF,1.2,0.1,0
117,2024-04-05 15:40:00,CCD,AMN,PRE,0,I,DW 241,5.5,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
118,2024-04-05 15:41:00,CCD,AMN,PRE,0,C,DW 241,1.9,Detection,Ramp,Auto,42.01,45,2,5,OFF,1.2,0.1,0
119,2024-04-05 15:41:00,CCD,AMN,PRE,0,C,DW 241,0.9,Detection,Ramp,Auto,21.05,45,2,5,OFF,1.2,0.1,0
120,2024-04-05 15:43:00,CCD,AMN,PRE,0,I,DW 241,1.8,Detection,Ramp,Auto,42.01,45,2,5,OFF,1.2,0.1,0
121,2024-04-05 15:43:00,CCD,AMN,PRE,0,I,DW 241,1.5,Detection,Ramp,Auto,33.78,45,2,5,OFF,1.2,0.1,0
122,2024-04-05 15:44:00,CCD,AMN,PRE,0,I,DW 241,1.3,Detection,Ramp,Auto,30.78,45,2,5,OFF,1.2,0.1,0
123,2024-04-05 15:45:00,CCD,AMN,PRE,0,I,DW 241,7.0,Cutoff,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
124,2024-04-05 15:45:00,CCD,AMN,PRE,0,I,DW 241,7.0,Cutoff,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
125,2024-04-05 15:47:00,CCD,AMN,PRE,0,I,DW 241,1.9,Detection,Ramp,Auto,42.01,45,2,5,OFF,1.2,0.1,0
126,2024-04-05 19:07:00,CCD,AMN,POST,24,I,DW 239,0.3,Detection,Ramp,Auto,8.33,45,2,5,OFF,1.2,0.1,0
127,2024-04-05 19:07:00,CCD,AMN,POST,24,I,DW 239,0.5,Detection,Ramp,Auto,12.07,45,2,5,OFF,1.2,0.1,0
128,2024-04-05 19:07:00,CCD,AMN,POST,24,I,DW 239,0.3,Detection,Ramp,Auto,8.33,45,2,5,OFF,1.2,0.1,0
129,2024-04-05 19:08:00,CCD,AMN,POST,24,I,DW 239,0.3,Detection,Ramp,Auto,6.84,45,2,5,OFF,1.2,0.1,0
130,2024-04-05 19:08:00,CCD,AMN,POST,24,I,DW 239,0.3,Detection,Ramp,Auto,7.58,45,2,5,OFF,1.2,0.1,0
131,2024-04-05 19:09:00,CCD,AMN,POST,24,C,DW 239,2.3,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
132,2024-04-05 19:09:00,CCD,AMN,POST,24,C,DW 239,2.1,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
133,2024-04-05 19:09:00,CCD,AMN,POST,24,C,DW 239,3.2,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
134,2024-04-05 19:09:00,CCD,AMN,POST,24,C,DW 239,2.1,Detection,Ramp,Auto,45.0,45,2,5,OFF,1.2,0.1,0
