Session,Date,Treatment,Protocol,Stage,Trial,ID,Latency,Reason,Mode,Scoring,Force,TargetForce,RampDuration,CutoffTime,LegacyMode,TouchPause,TouchForce,TimeThreshold,Inconsistent,Response,SurgeryDate,DayNumber
3180,2025-07-02 10:47:36,CCD,AMN,PRE,I,DW369,3.7,Detection,Ramp,Auto,38.11,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3181,2025-07-02 10:47:54,CCD,AMN,PRE,I,DW369,11.0,Cutoff,Ramp,Auto,60.0,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,0
3182,2025-07-02 10:48:00,CCD,AMN,PRE,I,DW369,2.0,Detection,Ramp,Auto,19.54,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3183,2025-07-02 10:49:51,CCD,AMN,PRE,C,DW369,1.9,Undefined,Ramp,Auto,19.54,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,0
3184,2025-07-02 10:49:58,CCD,AMN,PRE,C,DW369,3.9,Detection,Ramp,Auto,38.77,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3185,2025-07-02 10:50:04,CCD,AMN,PRE,C,DW369,2.3,Detection,Ramp,Auto,23.85,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3186,2025-07-02 10:50:13,CCD,AMN,PRE,C,DW369,4.6,Detection,Ramp,Auto,46.4,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3187,2025-07-02 10:51:14,CCD,AMN,PRE,C,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,0
3188,2025-07-02 10:51:22,CCD,AMN,PRE,C,DW369,0.9,Detection,Ramp,Auto,9.92,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3189,2025-07-02 10:51:32,CCD,AMN,PRE,C,DW369,3.6,Detection,Ramp,Auto,36.12,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3190,2025-07-02 10:51:49,CCD,AMN,PRE,I,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,0
3191,2025-07-02 10:51:55,CCD,AMN,PRE,I,DW369,4.1,Detection,Ramp,Auto,41.1,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3192,2025-07-02 10:52:04,CCD,AMN,PRE,I,DW369,3.9,Detection,Ramp,Auto,39.1,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3193,2025-07-02 10:52:11,CCD,AMN,PRE,I,DW369,4.0,Detection,Ramp,Auto,40.43,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3194,2025-07-02 10:52:17,CCD,AMN,PRE,I,DW369,2.2,Detection,Ramp,Auto,22.85,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3195,2025-07-02 10:52:25,CCD,AMN,PRE,I,DW369,3.1,Detection,Ramp,Auto,31.15,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3196,2025-07-02 10:52:43,CCD,AMN,PRE,I,DW369,4.7,Detection,Ramp,Auto,46.73,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,0
3197,2025-07-03 13:53:27,CCD,AMN,POST,TEST,DW369,1.8,Detection,Ramp,Auto,19.2,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3198,2025-07-03 13:53:38,CCD,AMN,POST,TEST,DW369,4.5,Detection,Ramp,Auto,45.41,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3199,2025-07-03 13:54:02,CCD,AMN,POST,TEST,DW369,3.3,Detection,Ramp,Auto,32.8,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3200,2025-07-03 13:54:19,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3201,2025-07-03 13:54:24,CCD,AMN,POST,TEST,DW369,1.0,Detection,Ramp,Auto,10.58,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3202,2025-07-03 13:54:33,CCD,AMN,POST,TEST,DW369,2.7,Detection,Ramp,Auto,27.5,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3203,2025-07-03 13:54:41,CCD,AMN,POST,TEST,DW369,0.8,Detection,Ramp,Auto,8.92,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3204,2025-07-03 13:55:16,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3205,2025-07-03 13:55:21,CCD,AMN,POST,TEST,DW369,2.4,Detection,Ramp,Auto,23.85,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3206,2025-07-03 13:56:15,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.0,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3207,2025-07-03 13:56:19,CCD,AMN,POST,TEST,DW369,0.5,Detection,Ramp,Auto,5.61,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3208,2025-07-03 13:56:29,CCD,AMN,POST,TEST,DW369,3.2,Detection,Ramp,Auto,32.47,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3209,2025-07-03 13:57:45,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3210,2025-07-03 13:57:48,CCD,AMN,POST,TEST,DW369,0.2,Detection,Ramp,Auto,2.62,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3211,2025-07-03 13:58:26,CCD,AMN,POST,TEST,DW369,3.2,Detection,Ramp,Auto,33.13,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3212,2025-07-03 13:58:46,CCD,AMN,POST,TEST,DW369,1.5,Detection,Ramp,Auto,15.23,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3213,2025-07-03 13:59:33,CCD,AMN,POST,TEST,DW369,1.7,Detection,Ramp,Auto,17.22,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3214,2025-07-03 14:00:07,CCD,AMN,POST,TEST,DW369,2.9,Detection,Ramp,Auto,29.16,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3215,2025-07-03 14:00:46,CCD,AMN,POST,TEST,DW369,2.8,Detection,Ramp,Auto,27.83,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3216,2025-07-03 14:01:46,CCD,AMN,POST,TEST,DW369,1.4,Detection,Ramp,Auto,14.23,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3217,2025-07-03 14:02:02,CCD,AMN,POST,TEST,DW369,0.0,Detection,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,True,0,2025-07-02 10:38:51,1
3218,2025-07-03 14:02:36,CCD,AMN,POST,TEST,DW369,0.2,Manual Stop,Ramp,Auto,2.29,60.0,6,5,OFF,1.2,0.3,0.0,True,0,2025-07-02 10:38:51,1
3219,2025-07-03 14:02:41,CCD,AMN,POST,TEST,DW369,2.5,Detection,Ramp,Auto,25.84,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
